Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players,Sentiment Score,Sentiment
Mario Kart 8 Deluxe,28.7,Everyone 10+,27.34,Switch,Yes,Rockstar Games,Valve,2017,Adventure,Yes,46.5,Low,Poor,Excellent,"Disappointing game, but too many bugs.",Offline,5,-0.16666666666666666,Neutral
Overwatch 2,33.0,Everyone,57.97,PS4,No,Valve,Nintendo,2017,Fighting,Yes,12.2,High,Average,Good,"Disappointing game, but the gameplay is amazing.",Offline,5,-0.1333333333333333,Neutral
Spelunky 2,36.4,Mature,35.69,PS4,Yes,Game Freak,Activision,2013,Fighting,Yes,56.9,Ultra,Average,Excellent,"Great game, but too many bugs.",Offline,2,0.3,Positive
The Elder Scrolls V: Skyrim,22.3,Everyone 10+,22.57,Android/iOS,Yes,Valve,Epic Games,2015,Action,Yes,30.9,Ultra,Excellent,Good,"Solid game, but too many bugs.",Online,10,0.033333333333333326,Neutral
Hitman 3,18.9,Teen,24.99,Android/iOS,No,Bungie,Square Enix,2015,Shooter,Yes,24.0,High,Good,Average,"Solid game, but the gameplay is amazing.",Offline,4,0.0666666666666667,Neutral
Call of Duty: Modern Warfare 2,31.1,Mature,39.4,Switch,Yes,EA Sports,Innersloth,2015,Fighting,No,31.7,Medium,Average,Poor,"Great game, but too many bugs.",Online,4,0.3,Positive
Tomb Raider (2013),34.1,Mature,47.59,PC,No,Epic Games,Innersloth,2017,Shooter,Yes,30.8,High,Poor,Poor,"Great game, but the graphics could be better.",Offline,6,0.3,Positive
Half-Life: Alyx,28.7,Teen,25.85,Xbox,No,Game Freak,Take-Two Interactive,2023,Fighting,Yes,48.1,High,Good,Poor,"Great game, but too many bugs.",Online,5,0.3,Positive
Call of Duty: Modern Warfare 2,33.5,Mature,51.48,Xbox,Yes,Rockstar Games,Take-Two Interactive,2013,Simulation,Yes,32.2,High,Poor,Good,"Disappointing game, but the gameplay is amazing.",Online,5,-0.1333333333333333,Neutral
Rocket League,32.5,Mature,34.34,PS4,Yes,CD Projekt Red,Activision,2023,Action,No,55.8,Low,Average,Average,"Solid game, but the graphics could be better.",Offline,2,0.033333333333333326,Neutral
The Legend of Zelda: Breath of the Wild,39.8,Everyone,53.29,Android/iOS,No,Innersloth,Square Enix,2014,Puzzle,No,49.3,Medium,Poor,Excellent,"Amazing game, but too many bugs.",Online,5,0.23333333333333336,Positive
Halo Infinite,30.6,Everyone 10+,34.17,Xbox,No,Nintendo,Innersloth,2022,Role-Playing Game,No,38.6,High,Average,Good,"Solid game, but the gameplay is amazing.",Online,10,0.0666666666666667,Neutral
Stardew Valley,39.2,Everyone 10+,49.71,Xbox,Yes,Nintendo,Valve,2012,Puzzle,Yes,42.5,Low,Poor,Good,"Amazing game, but too many bugs.",Online,6,0.23333333333333336,Positive
Fortnite,38.6,Teen,47.89,Switch,No,Bungie,Electronic Arts,2020,Simulation,Yes,53.4,Ultra,Excellent,Average,"Solid game, but the graphics could be better.",Offline,6,0.033333333333333326,Neutral
Spelunky 2,32.7,Teen,48.32,Android/iOS,Yes,Epic Games,Electronic Arts,2020,Action,Yes,32.7,Ultra,Poor,Excellent,"Amazing game, but too many bugs.",Offline,7,0.23333333333333336,Positive
Minecraft,29.9,Teen,34.71,Android/iOS,Yes,Bungie,Electronic Arts,2011,Party,No,42.3,High,Excellent,Average,"Solid game, but too many bugs.",Online,7,0.033333333333333326,Neutral
Among Us,27.5,Everyone,54.59,Switch,No,Game Freak,Innersloth,2023,Adventure,No,6.6,High,Poor,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,7,-0.1333333333333333,Neutral
Halo Infinite,34.8,Everyone 10+,42.75,Switch,No,Bungie,Nintendo,2015,Role-Playing Game,No,41.9,Low,Poor,Excellent,"Solid game, but the graphics could be better.",Offline,3,0.033333333333333326,Neutral
Super Smash Bros. Ultimate,44.3,Everyone,59.32,PS4,No,Nintendo,Square Enix,2010,Party,No,44.5,Medium,Good,Average,"Great game, but too many bugs.",Offline,6,0.3,Positive
1000-Piece Puzzle,28.8,Mature,39.53,PC,No,Bungie,Nintendo,2018,Party,No,33.7,Ultra,Average,Good,"Amazing game, but the gameplay is amazing.",Offline,4,0.2666666666666667,Positive
Pokémon Scarlet & Violet,29.9,Teen,51.73,Xbox,Yes,Innersloth,Activision,2010,Adventure,No,14.2,Low,Average,Excellent,"Solid game, but the graphics could be better.",Online,4,0.033333333333333326,Neutral
Kingdom Hearts III,30.2,Everyone,51.02,Android/iOS,Yes,Game Freak,Valve,2018,Shooter,Yes,21.8,Medium,Average,Good,"Amazing game, but too many bugs.",Online,6,0.23333333333333336,Positive
League of Legends,19.1,Teen,23.08,Switch,No,Game Freak,Valve,2010,Party,No,28.6,Low,Average,Average,"Solid game, but the gameplay is amazing.",Offline,2,0.0666666666666667,Neutral
Overwatch 2,14.4,Teen,25.33,Xbox,No,EA Sports,Electronic Arts,2016,Strategy,Yes,5.9,Medium,Good,Average,"Disappointing game, but the gameplay is amazing.",Offline,4,-0.1333333333333333,Neutral
The Witcher 3: Wild Hunt,30.8,Teen,40.29,Xbox,Yes,CD Projekt Red,Nintendo,2021,Fighting,Yes,32.8,Ultra,Good,Average,"Amazing game, but too many bugs.",Offline,4,0.23333333333333336,Positive
Fall Guys,17.6,Everyone 10+,23.81,PC,Yes,Innersloth,Capcom,2017,Fighting,No,13.0,Low,Good,Average,"Disappointing game, but the gameplay is amazing.",Online,7,-0.1333333333333333,Neutral
Super Smash Bros. Ultimate,28.9,Everyone,33.56,PC,Yes,Game Freak,Activision,2019,Puzzle,Yes,38.0,High,Good,Average,"Disappointing game, but the graphics could be better.",Offline,1,-0.16666666666666666,Neutral
The Sims 4,30.6,Teen,39.26,PS4,No,CD Projekt Red,Innersloth,2018,Role-Playing Game,Yes,42.0,Medium,Average,Excellent,"Great game, but the graphics could be better.",Online,8,0.3,Positive
Mario Kart 8 Deluxe,39.5,Mature,48.85,PC,Yes,EA Sports,Square Enix,2013,Simulation,Yes,46.8,Low,Good,Average,"Solid game, but the gameplay is amazing.",Offline,3,0.0666666666666667,Neutral
Among Us,39.7,Mature,51.64,Android/iOS,No,Rockstar Games,Square Enix,2019,Adventure,Yes,42.6,Medium,Good,Excellent,"Great game, but too many bugs.",Offline,8,0.3,Positive
FIFA 24,29.6,Mature,28.04,PC,No,Epic Games,Square Enix,2014,Sports,Yes,46.5,Low,Poor,Poor,"Disappointing game, but the gameplay is amazing.",Online,10,-0.1333333333333333,Neutral
FIFA 24,29.9,Everyone 10+,48.76,Switch,Yes,EA Sports,Innersloth,2022,Action,No,24.3,High,Poor,Poor,"Solid game, but the graphics could be better.",Online,3,0.033333333333333326,Neutral
Hades,23.3,Everyone 10+,39.48,PS4,No,Nintendo,Nintendo,2019,Puzzle,No,13.3,Ultra,Poor,Poor,"Solid game, but too many bugs.",Online,4,0.033333333333333326,Neutral
The Legend of Zelda: Breath of the Wild,29.6,Everyone,44.04,Xbox,No,Valve,Epic Games,2015,Adventure,Yes,25.7,Low,Good,Average,"Amazing game, but the graphics could be better.",Offline,7,0.23333333333333336,Positive
Tekken 7,34.7,Mature,40.92,PC,Yes,Valve,Square Enix,2019,Adventure,No,43.1,Low,Good,Good,"Disappointing game, but the graphics could be better.",Online,1,-0.16666666666666666,Neutral
The Sims 4,41.0,Everyone 10+,50.47,Switch,No,Bungie,Capcom,2014,Strategy,Yes,49.7,High,Good,Excellent,"Solid game, but the gameplay is amazing.",Offline,7,0.0666666666666667,Neutral
The Legend of Zelda: Breath of the Wild,29.1,Everyone 10+,33.71,PS4,No,CD Projekt Red,Epic Games,2018,Strategy,No,41.9,Ultra,Average,Poor,"Great game, but the graphics could be better.",Online,4,0.3,Positive
Tekken 7,32.0,Everyone 10+,55.83,Android/iOS,No,Game Freak,Nintendo,2012,Simulation,Yes,9.8,High,Average,Poor,"Solid game, but the graphics could be better.",Online,5,0.033333333333333326,Neutral
Ghost of Tsushima,33.9,Everyone 10+,40.54,PS4,No,Rockstar Games,Capcom,2019,Role-Playing Game,Yes,50.9,Medium,Good,Poor,"Disappointing game, but the gameplay is amazing.",Offline,10,-0.1333333333333333,Neutral
Fortnite,38.3,Teen,41.73,PC,No,Epic Games,Electronic Arts,2015,Party,No,54.1,High,Average,Poor,"Solid game, but the graphics could be better.",Offline,7,0.033333333333333326,Neutral
Sid Meier’s Civilization VI,37.5,Everyone 10+,37.8,PC,No,EA Sports,Epic Games,2013,Role-Playing Game,No,58.7,Ultra,Poor,Poor,"Great game, but too many bugs.",Offline,2,0.3,Positive
League of Legends,28.9,Mature,45.82,Switch,Yes,Epic Games,Epic Games,2013,Shooter,No,15.4,Medium,Good,Excellent,"Disappointing game, but too many bugs.",Offline,1,-0.16666666666666666,Neutral
Mario Kart 8 Deluxe,22.5,Everyone 10+,23.29,PS4,No,Valve,Electronic Arts,2015,Shooter,No,38.0,Medium,Poor,Poor,"Solid game, but the graphics could be better.",Offline,1,0.033333333333333326,Neutral
Cuphead,24.6,Everyone 10+,32.69,PS4,No,Innersloth,Electronic Arts,2023,Shooter,No,28.5,Ultra,Poor,Poor,"Amazing game, but too many bugs.",Offline,7,0.23333333333333336,Positive
Cuphead,25.0,Everyone 10+,30.01,Android/iOS,No,EA Sports,Valve,2015,Fighting,Yes,38.2,Low,Poor,Poor,"Solid game, but the graphics could be better.",Online,10,0.033333333333333326,Neutral
FIFA 24,34.1,Everyone 10+,41.18,PC,No,Innersloth,Square Enix,2018,Sports,Yes,51.0,Low,Average,Average,"Great game, but the graphics could be better.",Online,1,0.3,Positive
Half-Life: Alyx,37.5,Mature,40.63,Xbox,Yes,Innersloth,Electronic Arts,2019,Shooter,No,57.3,Ultra,Poor,Average,"Disappointing game, but too many bugs.",Offline,2,-0.16666666666666666,Neutral
Cuphead,31.9,Teen,35.76,PC,Yes,Bungie,Electronic Arts,2012,Puzzle,Yes,50.3,Low,Poor,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,6,-0.1333333333333333,Neutral
Red Dead Redemption 2,25.1,Teen,30.83,Switch,No,CD Projekt Red,Electronic Arts,2020,Simulation,Yes,28.6,Low,Excellent,Poor,"Great game, but the graphics could be better.",Online,6,0.3,Positive
The Witcher 3: Wild Hunt,28.6,Everyone,40.75,PS4,Yes,EA Sports,Activision,2011,Puzzle,No,27.0,Medium,Average,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,6,-0.1333333333333333,Neutral
Portal 2,35.7,Mature,38.12,Android/iOS,No,Bungie,Capcom,2016,Strategy,Yes,55.9,Low,Excellent,Good,"Great game, but the gameplay is amazing.",Offline,5,0.3333333333333333,Positive
Just Dance 2024,34.7,Everyone 10+,45.83,PC,Yes,Epic Games,Capcom,2020,Puzzle,Yes,40.9,Ultra,Excellent,Good,"Solid game, but the graphics could be better.",Online,6,0.033333333333333326,Neutral
Grand Theft Auto V,44.1,Everyone 10+,57.59,PS4,No,Game Freak,Activision,2011,Role-Playing Game,No,57.3,Low,Poor,Average,"Solid game, but the gameplay is amazing.",Online,3,0.0666666666666667,Neutral
The Legend of Zelda: Breath of the Wild,32.6,Mature,48.69,Xbox,No,Innersloth,Valve,2017,Simulation,Yes,24.1,Ultra,Excellent,Average,"Great game, but too many bugs.",Online,5,0.3,Positive
League of Legends,32.4,Teen,27.4,Switch,No,Nintendo,Take-Two Interactive,2019,Adventure,No,56.3,Low,Poor,Poor,"Solid game, but the graphics could be better.",Offline,7,0.033333333333333326,Neutral
Fortnite,31.1,Mature,40.03,PS4,Yes,Bungie,Capcom,2019,Fighting,Yes,31.7,High,Average,Poor,"Great game, but the gameplay is amazing.",Online,2,0.3333333333333333,Positive
Animal Crossing: New Horizons,33.2,Everyone 10+,52.77,Xbox,Yes,Capcom,Square Enix,2020,Sports,No,16.1,Low,Poor,Average,"Great game, but the gameplay is amazing.",Offline,10,0.3333333333333333,Positive
Super Smash Bros. Ultimate,28.4,Everyone,34.56,Xbox,Yes,Valve,Innersloth,2011,Simulation,No,40.7,Medium,Poor,Poor,"Great game, but too many bugs.",Online,8,0.3,Positive
League of Legends,20.2,Everyone,31.09,PC,Yes,Valve,Innersloth,2020,Party,No,11.6,High,Good,Poor,"Solid game, but the graphics could be better.",Online,1,0.033333333333333326,Neutral
Half-Life: Alyx,21.4,Mature,21.57,Xbox,No,Game Freak,Activision,2011,Adventure,No,29.8,High,Good,Poor,"Great game, but too many bugs.",Online,8,0.3,Positive
Half-Life: Alyx,46.1,Everyone 10+,56.41,Android/iOS,No,Epic Games,Electronic Arts,2017,Action,Yes,55.7,Medium,Good,Good,"Solid game, but too many bugs.",Offline,1,0.033333333333333326,Neutral
Minecraft,40.5,Everyone,49.64,Xbox,Yes,Capcom,Epic Games,2010,Simulation,No,51.8,Low,Average,Excellent,"Great game, but the graphics could be better.",Online,5,0.3,Positive
Tomb Raider (2013),13.9,Everyone 10+,27.04,Switch,No,CD Projekt Red,Electronic Arts,2018,Adventure,Yes,6.8,Low,Good,Poor,"Amazing game, but the gameplay is amazing.",Online,6,0.2666666666666667,Positive
League of Legends,20.9,Everyone,36.55,Xbox,Yes,Innersloth,Square Enix,2018,Fighting,No,12.7,Ultra,Average,Good,"Great game, but too many bugs.",Offline,1,0.3,Positive
Hades,20.8,Teen,36.65,Switch,No,Nintendo,Capcom,2022,Party,Yes,9.0,Low,Excellent,Average,"Great game, but too many bugs.",Offline,5,0.3,Positive
Tetris,18.5,Everyone,33.68,Switch,No,Capcom,Valve,2015,Shooter,Yes,9.7,Low,Excellent,Good,"Great game, but the gameplay is amazing.",Online,10,0.3333333333333333,Positive
The Elder Scrolls V: Skyrim,25.3,Mature,23.24,Android/iOS,No,CD Projekt Red,Activision,2022,Shooter,Yes,48.1,Ultra,Excellent,Good,"Disappointing game, but too many bugs.",Online,3,-0.16666666666666666,Neutral
Hades,38.5,Everyone 10+,43.33,Xbox,Yes,Nintendo,Innersloth,2020,Puzzle,Yes,51.5,Medium,Poor,Average,"Amazing game, but the gameplay is amazing.",Online,8,0.2666666666666667,Positive
Kingdom Hearts III,26.7,Everyone,30.02,PS4,No,Innersloth,Nintendo,2010,Party,Yes,43.7,Medium,Poor,Good,"Disappointing game, but the graphics could be better.",Online,2,-0.16666666666666666,Neutral
Ghost of Tsushima,34.9,Everyone,30.36,Switch,No,Epic Games,Take-Two Interactive,2015,Adventure,Yes,59.3,High,Average,Poor,"Great game, but the gameplay is amazing.",Online,10,0.3333333333333333,Positive
FIFA 24,34.9,Mature,46.36,Switch,Yes,Bungie,Activision,2012,Sports,Yes,41.3,Low,Good,Good,"Solid game, but the gameplay is amazing.",Offline,1,0.0666666666666667,Neutral
Ghost of Tsushima,23.1,Mature,33.54,Android/iOS,No,Game Freak,Square Enix,2014,Adventure,Yes,23.9,Ultra,Average,Excellent,"Amazing game, but the graphics could be better.",Offline,2,0.23333333333333336,Positive
Pillars of Eternity II: Deadfire,31.8,Everyone,53.31,Android/iOS,No,Capcom,Valve,2022,Simulation,No,15.2,High,Poor,Excellent,"Amazing game, but too many bugs.",Online,6,0.23333333333333336,Positive
Kingdom Hearts III,30.7,Teen,52.02,Switch,No,Epic Games,Epic Games,2012,Fighting,Yes,11.0,High,Poor,Good,"Amazing game, but too many bugs.",Offline,4,0.23333333333333336,Positive
Counter-Strike: Global Offensive,22.6,Everyone 10+,25.89,Android/iOS,Yes,Game Freak,Take-Two Interactive,2019,Simulation,Yes,28.9,High,Poor,Good,"Great game, but too many bugs.",Online,2,0.3,Positive
Super Mario Odyssey,34.7,Everyone,46.59,PC,No,Game Freak,Valve,2017,Fighting,No,38.0,Ultra,Excellent,Average,"Solid game, but too many bugs.",Online,7,0.033333333333333326,Neutral
The Elder Scrolls V: Skyrim,37.7,Everyone,58.56,PS4,Yes,CD Projekt Red,Electronic Arts,2018,Adventure,Yes,31.8,High,Excellent,Poor,"Solid game, but too many bugs.",Offline,3,0.033333333333333326,Neutral
League of Legends,32.4,Teen,55.08,PC,Yes,CD Projekt Red,Innersloth,2023,Sports,Yes,19.6,Low,Good,Poor,"Disappointing game, but too many bugs.",Offline,1,-0.16666666666666666,Neutral
Spelunky 2,23.3,Everyone 10+,25.5,PS4,Yes,Capcom,Square Enix,2019,Fighting,Yes,38.7,Low,Average,Poor,"Amazing game, but the graphics could be better.",Online,8,0.23333333333333336,Positive
Red Dead Redemption 2,26.6,Everyone 10+,35.69,PS4,No,Rockstar Games,Capcom,2012,Party,No,30.4,Ultra,Excellent,Good,"Great game, but the gameplay is amazing.",Offline,6,0.3333333333333333,Positive
1000-Piece Puzzle,46.0,Teen,58.75,PS4,No,CD Projekt Red,Innersloth,2019,Strategy,No,50.1,High,Excellent,Excellent,"Amazing game, but the gameplay is amazing.",Online,2,0.2666666666666667,Positive
Counter-Strike: Global Offensive,20.7,Everyone 10+,30.91,PS4,No,Game Freak,Capcom,2022,Role-Playing Game,Yes,20.2,High,Average,Average,"Great game, but too many bugs.",Online,7,0.3,Positive
FIFA 24,28.7,Everyone 10+,34.04,PC,No,Innersloth,Capcom,2016,Action,No,36.3,Low,Good,Average,"Solid game, but too many bugs.",Online,4,0.033333333333333326,Neutral
1000-Piece Puzzle,25.2,Everyone,42.13,Android/iOS,Yes,Capcom,Valve,2016,Role-Playing Game,No,8.8,Ultra,Poor,Excellent,"Amazing game, but the gameplay is amazing.",Online,4,0.2666666666666667,Positive
Fortnite,21.6,Everyone 10+,40.71,PS4,No,Bungie,Valve,2016,Fighting,Yes,9.7,High,Excellent,Excellent,"Solid game, but the graphics could be better.",Online,6,0.033333333333333326,Neutral
Pillars of Eternity II: Deadfire,25.3,Everyone 10+,39.72,PC,No,Rockstar Games,Electronic Arts,2015,Party,No,18.5,Medium,Good,Poor,"Solid game, but too many bugs.",Online,8,0.033333333333333326,Neutral
Minecraft,15.7,Everyone,26.36,PS4,Yes,Game Freak,Valve,2013,Fighting,Yes,14.1,Low,Good,Excellent,"Amazing game, but the gameplay is amazing.",Offline,8,0.2666666666666667,Positive
Halo Infinite,22.8,Mature,20.09,Android/iOS,Yes,Capcom,Nintendo,2020,Sports,Yes,36.3,High,Good,Average,"Amazing game, but the graphics could be better.",Offline,4,0.23333333333333336,Positive
Grand Theft Auto V,37.4,Teen,41.74,PS4,Yes,Valve,Take-Two Interactive,2014,Action,No,59.3,Low,Poor,Excellent,"Solid game, but the gameplay is amazing.",Online,4,0.0666666666666667,Neutral
Just Dance 2024,18.6,Mature,27.5,Android/iOS,Yes,Game Freak,Square Enix,2018,Simulation,Yes,18.8,High,Excellent,Excellent,"Amazing game, but the graphics could be better.",Offline,5,0.23333333333333336,Positive
Fall Guys,44.5,Everyone 10+,59.38,Xbox,Yes,Valve,Innersloth,2019,Puzzle,Yes,54.0,Ultra,Good,Poor,"Solid game, but the gameplay is amazing.",Online,8,0.0666666666666667,Neutral
Bioshock Infinite,24.9,Everyone,24.22,PC,No,Game Freak,Electronic Arts,2019,Strategy,No,44.7,Medium,Good,Good,"Solid game, but the graphics could be better.",Offline,5,0.033333333333333326,Neutral
Cuphead,24.4,Teen,34.76,Switch,Yes,Capcom,Valve,2011,Role-Playing Game,No,19.3,Ultra,Poor,Poor,"Amazing game, but the graphics could be better.",Offline,2,0.23333333333333336,Positive
Fortnite,36.9,Mature,47.1,Android/iOS,Yes,Bungie,Activision,2017,Shooter,Yes,38.3,Ultra,Average,Average,"Amazing game, but too many bugs.",Online,3,0.23333333333333336,Positive
Tetris,36.0,Teen,41.71,Android/iOS,No,Capcom,Valve,2023,Fighting,No,54.0,Low,Average,Excellent,"Disappointing game, but the gameplay is amazing.",Online,7,-0.1333333333333333,Neutral
Pokémon Scarlet & Violet,11.3,Everyone 10+,22.13,Switch,No,Bungie,Valve,2021,Role-Playing Game,No,6.6,Medium,Good,Average,"Great game, but the graphics could be better.",Offline,5,0.3,Positive
The Sims 4,28.7,Mature,55.7,PS4,Yes,Game Freak,Take-Two Interactive,2016,Strategy,No,6.8,Low,Excellent,Average,"Amazing game, but too many bugs.",Online,3,0.23333333333333336,Positive
Portal 2,33.4,Teen,41.42,PC,No,EA Sports,Valve,2011,Party,Yes,36.1,Ultra,Good,Good,"Solid game, but the graphics could be better.",Offline,10,0.033333333333333326,Neutral
Red Dead Redemption 2,30.0,Mature,46.11,Android/iOS,No,Nintendo,Epic Games,2011,Simulation,Yes,23.7,Ultra,Average,Average,"Amazing game, but too many bugs.",Online,3,0.23333333333333336,Positive
Just Dance 2024,19.6,Teen,23.8,Xbox,Yes,Game Freak,Square Enix,2013,Adventure,Yes,29.2,Low,Average,Excellent,"Amazing game, but too many bugs.",Online,8,0.23333333333333336,Positive
Pokémon Scarlet & Violet,26.2,Everyone,34.03,PC,Yes,Game Freak,Square Enix,2023,Action,No,31.1,Low,Good,Average,"Great game, but too many bugs.",Offline,4,0.3,Positive
